City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Bredy,RU,2021-10-31 22:45:51,52.4153,60.3411,41.59,92,84,14.41
137,Muravlenko,RU,2021-10-31 22:45:51,63.7898,74.523,0.77,96,14,10.02
138,Iquitos,PE,2021-10-31 22:44:49,-3.7481,-73.2472,84.24,79,75,4.61
139,Merritt Island,US,2021-10-31 22:46:52,28.5392,-80.672,73.45,67,1,6.91
140,Pochutla,MX,2021-10-31 22:46:52,15.7432,-96.4661,85.82,78,75,2.57
141,Kobryn,BY,2021-10-31 22:46:53,52.2138,24.3564,42.84,72,0,9.91
142,Tilichiki,RU,2021-10-31 22:46:53,60.4667,166.1,-4.56,95,49,11.3
143,Vardo,NO,2021-10-31 22:46:54,70.3705,31.1107,31.75,74,55,25.37
144,Katsuura,JP,2021-10-31 22:46:54,35.1333,140.3,62.19,85,91,7.11
145,Sabang,ID,2021-10-31 22:46:54,5.8933,95.3214,80.64,77,92,4.27
146,Vestmannaeyjar,IS,2021-10-31 22:46:55,63.4427,-20.2734,37.62,69,43,25.17
147,Manoel Urbano,BR,2021-10-31 22:46:55,-8.8389,-69.2597,86.52,51,100,5.5
148,Salalah,OM,2021-10-31 22:46:56,17.0151,54.0924,73.49,56,0,2.3
149,Ushtobe,KZ,2021-10-31 22:46:56,45.2514,77.9838,46.04,42,100,10.38
150,La Ronge,CA,2021-10-31 22:46:56,55.1001,-105.2842,32.25,64,75,9.22
151,Am Timan,TD,2021-10-31 22:46:57,11.0297,20.2827,78.24,33,78,2.91
152,Loja,EC,2021-10-31 22:46:57,-3.9931,-79.2042,58.41,100,90,2.3
153,Leningradskiy,RU,2021-10-31 22:46:58,69.3833,178.4167,-1.75,87,99,12.15
154,Natitingou,BJ,2021-10-31 22:46:58,10.3042,1.3796,76.08,34,94,3.49
155,Aasiaat,GL,2021-10-31 22:46:59,68.7098,-52.8699,33.39,88,100,15.35
156,Flin Flon,CA,2021-10-31 22:45:36,54.7682,-101.865,33.64,93,75,8.05
157,Tocopilla,CL,2021-10-31 22:46:59,-22.092,-70.1979,66.29,66,13,5.88
158,Lavrentiya,RU,2021-10-31 22:47:00,65.5833,-171.0,13.59,79,5,11.63
159,Labuhan,ID,2021-10-31 22:47:00,-6.8844,112.2051,81.32,76,100,3.51
160,Portland,US,2021-10-31 22:45:03,45.5234,-122.6762,64.98,39,20,1.99
161,Yellowknife,CA,2021-10-31 22:47:01,62.456,-114.3525,33.42,95,75,1.99
162,Vicuna,CL,2021-10-31 22:45:16,-30.0319,-70.7081,75.78,50,99,5.21
163,Barda,AZ,2021-10-31 22:47:02,40.3744,47.1267,52.61,78,54,1.83
164,Gizo,SB,2021-10-31 22:47:02,-8.103,156.8419,83.03,73,100,8.12
165,Longyearbyen,SJ,2021-10-31 22:47:03,78.2186,15.6401,33.64,69,40,19.57
166,Tingo Maria,PE,2021-10-31 22:47:03,-9.2895,-76.0088,75.34,81,62,0.6
167,Saint-Francois,FR,2021-10-31 22:47:03,46.4154,3.9054,54.84,93,100,5.75
168,Hammerfest,NO,2021-10-31 22:47:04,70.6634,23.6821,36.05,80,0,16.11
169,Port Macquarie,AU,2021-10-31 22:47:04,-31.4333,152.9167,67.89,53,66,5.35
170,Zyryanka,RU,2021-10-31 22:47:05,65.75,150.85,-3.89,96,53,9.06
171,Sorong,ID,2021-10-31 22:47:05,-0.8833,131.25,80.17,83,100,6.71
172,San Jeronimo,PE,2021-10-31 22:47:05,-11.9472,-75.2829,55.4,71,82,6.13
173,Bambous Virieux,MU,2021-10-31 22:47:06,-20.3428,57.7575,71.85,83,40,3.44
174,Acajutla,SV,2021-10-31 22:47:06,13.5928,-89.8275,91.74,74,75,5.46
175,Sibiti,CG,2021-10-31 22:47:07,-3.6819,13.3499,69.35,98,96,2.73
176,Praia Da Vitoria,PT,2021-10-31 22:47:07,38.7333,-27.0667,70.05,94,40,1.43
177,Souillac,MU,2021-10-31 22:47:08,-20.5167,57.5167,71.98,83,40,3.44
178,Puerto Carreno,CO,2021-10-31 22:47:08,6.189,-67.4859,78.28,85,74,1.7
179,Awbari,LY,2021-10-31 22:47:08,26.5921,12.7805,68.45,29,1,3.33
180,Qaqortoq,GL,2021-10-31 22:47:09,60.7167,-46.0333,27.1,70,62,6.64
181,Castro,BR,2021-10-31 22:47:09,-24.7911,-50.0119,59.18,98,97,6.13
182,Tecolotlan,MX,2021-10-31 22:48:10,20.2167,-104.05,78.78,46,32,3.53
183,Ponta Do Sol,PT,2021-10-31 22:48:10,32.6667,-17.1,74.03,79,58,5.08
184,Erenhot,CN,2021-10-31 22:44:17,43.6475,111.9767,32.43,54,0,5.77
