City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
602,Diaz,PH,86.13,broken clouds,15.8463,120.8347,Luna Este Barangay Hall
607,Antalaha,MG,81.01,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
608,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
610,Savalou,BJ,79.05,overcast clouds,7.9281,1.9756,Hotel F&F
615,Along,IN,82.06,clear sky,28.1667,94.7667,Hotel West
618,Lagos,NG,77.32,light rain,6.5833,3.75,
625,Lazaro Cardenas,MX,76.55,overcast clouds,17.9583,-102.2,quinta antigua
629,Itarema,BR,78.98,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
633,Oussouye,SN,80.69,scattered clouds,12.485,-16.5469,Auberge du Routard
635,Lakhimpur,IN,79.97,clear sky,27.95,80.7667,Hotel Sarna
636,Pemangkat,ID,83.84,light rain,1.1667,108.9667,Ramah Kost KITA
637,Teknaf,BD,86.2,broken clouds,20.8624,92.3058,Forestry Guesthouse
639,Ranong,TH,82.33,moderate rain,9.9658,98.6348,Tinidee Hotel@Ranong
640,Rangoon,MM,89.56,scattered clouds,16.8053,96.1561,Clover Hotel
645,Witu,KE,84.36,broken clouds,-2.3889,40.4382,
646,Touros,BR,79.7,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
649,Luau,AO,82.62,overcast clouds,-10.7073,22.2247,Casa- Bernardo Cândido
650,Tual,ID,84.45,broken clouds,-5.6667,132.75,Grand Vilia Hotel
651,Souillac,MU,80.37,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
653,Ambovombe,MG,83.32,light rain,-25.1667,46.0833,RELAHARA
655,Ternate,ID,82.94,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
658,Watsa,CD,77.72,light rain,3.0372,29.5355,Hôtel Le Pacifique
